s	404.161	45	1	4
a	409.883	50	1	4
a	412.82	51	1	5
d	416.607	45	1	6
s	416.607	46	1	5
a	417.787	52	1	5
a	420.286	53	1	6
a	425.071	54	1	7
d	435.899	46	1	8
s	435.899	47	1	7
d	436.261	47	1	7
s	436.261	48	1	6
a	438.469	55	1	6
a	439.166	56	1	7
a	441.735	57	1	8
d	449.946	48	1	9
s	449.946	49	1	8
a	450.092	58	1	8
d	455.91	49	1	9
s	455.91	50	1	8
d	456.148	50	1	8
s	456.148	51	1	7
d	458.814	51	1	7
s	458.814	52	1	6
a	468.669	59	1	6
a	469.586	60	1	7
a	470.961	61	1	8
d	471.945	52	1	9
s	471.945	53	1	8
a	474.749	62	1	8
d	483.52	53	1	9
s	483.52	54	1	8
d	484.934	54	1	8
s	484.934	55	1	7
a	486.835	63	1	7
d	490.141	55	1	8
s	490.141	56	1	7
d	494.938	56	1	7
s	494.938	57	1	6
d	497.122	57	1	6
s	497.122	58	1	5
a	499.86	64	1	5
d	503.439	58	1	6
s	503.439	59	1	5
d	507.389	59	1	5
s	507.389	60	1	4
a	508.782	65	1	4
d	510.066	60	1	5
s	510.066	61	1	4
a	510.741	66	1	4
d	512.347	61	1	5
s	512.347	62	1	4
a	515.948	67	1	4
a	522.949	68	1	5
a	524.214	69	1	6
d	527.014	62	1	7
s	527.014	63	1	6
d	531.632	63	1	6
s	531.632	64	1	5
d	534.509	64	1	5
s	534.509	65	1	4
d	540.479	65	1	4
s	540.479	66	1	3
a	547.662	70	1	3
a	548.026	71	1	4
a	548.599	72	1	5
a	552.789	73	1	6
d	556.277	66	1	7
s	556.277	67	1	6
a	560.219	74	1	6
d	561.536	67	1	7
s	561.536	68	1	6
d	562.699	68	1	6
s	562.699	69	1	5
a	567.085	75	1	5
d	570.744	69	1	6
s	570.744	70	1	5
a	572.58	76	1	5
a	572.7	77	1	6
d	579.86	70	1	7
s	579.86	71	1	6
a	581.18	78	1	6
d	581.976	71	1	7
s	581.976	72	1	6
a	585.148	79	1	6
a	587.057	80	1	7
a	588.282	81	1	8
d	593.383	72	1	9
s	593.383	73	1	8
a	594.737	82	1	8
a	595.552	83	1	9
d	598.223	73	1	10
s	598.223	74	1	9
d	598.261	74	1	9
s	598.261	75	1	8
d	602.164	75	1	8
s	602.164	76	1	7
a	620.715	84	1	7
d	623.063	76	1	8
s	623.063	77	1	7
a	625.142	85	1	7
a	626.337	86	1	8
a	629.608	87	1	9
a	632.541	88	1	10
d	634.54	77	1	11
s	634.54	78	1	10
d	635.742	78	1	10
s	635.742	79	1	9
a	643.883	89	1	9
d	650.393	79	1	10
s	650.393	80	1	9
d	652.471	80	1	9
s	652.471	81	1	8
a	659.339	90	1	8
a	659.764	91	1	9
d	660.578	81	1	10
s	660.578	82	1	9
d	668.206	82	1	9
s	668.206	83	1	8
a	668.524	92	1	8
a	670.698	93	1	9
a	671.963	94	1	10
a	674.38	95	1	11
a	677.953	96	1	12
a	679.993	97	1	13
d	681.956	83	1	14
s	681.956	84	1	13
a	689.621	98	1	13
d	695.498	84	1	14
s	695.498	85	1	13
d	715.076	85	1	13
s	715.076	86	1	12
d	716.583	86	1	12
s	716.583	87	1	11
d	717.699	87	1	11
s	717.699	88	1	10
d	728.605	88	1	10
s	728.605	89	1	9
a	734.61	99	1	9
a	738.754	100	1	10
d	743.708	89	1	11
s	743.708	90	1	10
d	773.464	90	1	10
s	773.464	91	1	9
d	788.679	91	1	9
s	788.679	92	1	8
d	794.198	92	1	8
s	794.198	93	1	7
d	796.191	93	1	7
s	796.191	94	1	6
d	798.828	94	1	6
s	798.828	95	1	5
d	803.097	95	1	5
s	803.097	96	1	4
d	821.334	96	1	4
s	821.334	97	1	3
d	827.133	97	1	3
s	827.133	98	1	2
d	838.331	98	1	2
s	838.331	99	1	1
d	840.866	99	1	1
s	840.866	100	1	0
d	849.522	100	0	0
